Created by Akshay Himatsingka akshayhimat@gmail.com
Metric,Value
Trade Analysis,
total - total,6
total - open,1
total - closed,5
streak - won,"AutoOrderedDict({'current': 0, 'longest': 4})"
streak - lost,"AutoOrderedDict({'current': 1, 'longest': 1})"
pnl - gross,"AutoOrderedDict({'total': 18886.68504317802, 'average': 3777.3370086356035})"
pnl - net,"AutoOrderedDict({'total': 18868.32981362292, 'average': 3773.665962724584})"
won - total,4
won - pnl,"AutoOrderedDict({'total': 24383.716468003906, 'average': 6095.9291170009765, 'max': 20384.275355334965})"
lost - total,1
lost - pnl,"AutoOrderedDict({'total': -5515.3866543809845, 'average': -5515.3866543809845, 'max': -5515.3866543809845})"
long - total,5
long - pnl,"AutoOrderedDict({'total': 18868.32981362292, 'average': 3773.665962724584, 'won': AutoOrderedDict({'total': 24383.716468003906, 'average': 6095.9291170009765, 'max': 20384.275355334965}), 'lost': AutoOrderedDict({'total': -5515.3866543809845, 'average': -5515.3866543809845, 'max': -5515.3866543809845})})"
long - won,4
long - lost,1
short - total,0
short - pnl,"AutoOrderedDict({'total': 0.0, 'average': 0.0, 'won': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0}), 'lost': AutoOrderedDict({'total': 0.0, 'average': 0.0, 'max': 0.0})})"
short - won,0
short - lost,0
len - total,1150
len - average,230.0
len - max,580
len - min,27
len - won,"AutoOrderedDict({'total': 1123, 'average': 280.75, 'max': 580, 'min': 51})"
len - lost,"AutoOrderedDict({'total': 27, 'average': 27.0, 'max': 27, 'min': 27})"
len - long,"AutoOrderedDict({'total': 1150, 'average': 230.0, 'max': 580, 'min': 27, 'won': AutoOrderedDict({'total': 1123, 'average': 280.75, 'max': 580, 'min': 51}), 'lost': AutoOrderedDict({'total': 27, 'average': 27.0, 'max': 27, 'min': 27})})"
len - short,"AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807, 'won': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807}), 'lost': AutoOrderedDict({'total': 0, 'average': 0.0, 'max': 0, 'min': 9223372036854775807})})"
